# 示例 CSV 轨迹文件
# 格式: x, y, z, qx, qy, qz, qw, joint1, joint2, joint3, ...
# 前 7 列是 base 位置和四元数，后面是关节角度（弧度）

0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.01, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
0.02, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2
0.03, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3
0.04, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4
0.05, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5
0.06, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6
0.07, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7
0.08, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8
0.09, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9
0.1, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
